"","x"
"1",0.00788643533123028
"2",0
"3",0
"4",0.00788643533123028
"5",0.0236593059936909
"6",0.0394321766561514
"7",0.0236593059936908
"8",0.0236593059936909
"9",0.0315457413249211
"10",0.0315457413249211
"11",0.0315457413249211
"12",0.0630914826498424
"13",0.0552050473186119
"14",0.0236593059936908
"15",0.102523659305994
"16",0.102523659305994
"17",0.126182965299684
"18",0.0788643533123029
"19",0.134069400630915
"20",0.110410094637224
"21",0.102523659305994
"22",0.110410094637224
"23",0.110410094637224
"24",0.141955835962145
"25",0.0946372239747633
"26",0.118296529968454
"27",0.134069400630915
"28",0.102523659305994
"29",0.149842271293376
"30",0.141955835962145
"31",0.141955835962145
"32",0.141955835962145
"33",0.149842271293375
"34",0.173501577287066
"35",0.141955835962145
"36",0.197160883280758
"37",0.197160883280757
"38",0.181388012618296
"39",0.141955835962145
"40",0.118296529968455
"41",0.173501577287067
"42",0.118296529968454
"43",0.157728706624606
"44",0.157728706624605
"45",0.220820189274449
"46",0.149842271293376
"47",0.181388012618296
"48",0.228706624605679
"49",0.189274447949526
"50",0.141955835962146
"51",0.157728706624605
"52",0.212933753943218
"53",0.126182965299685
"54",0.110410094637223
"55",0.141955835962146
"56",0.110410094637223
"57",0.141955835962146
"58",0.102523659305994
"59",0.126182965299684
"60",0.134069400630915
"61",0.134069400630914
"62",0.134069400630915
"63",0.0946372239747629
"64",0.110410094637224
"65",0.0946372239747637
"66",0.134069400630914
"67",0.141955835962146
"68",0.0709779179810722
"69",0.0630914826498425
"70",0.126182965299684
"71",0.0473186119873819
"72",0.102523659305994
"73",0.0946372239747629
"74",0.0867507886435334
"75",0.0473186119873815
"76",0.0867507886435334
"77",0.0630914826498425
"78",0.0709779179810722
"79",0.0630914826498419
"80",0.0473186119873819
"81",0.0552050473186122
"82",0.0552050473186122
"83",0.0236593059936905
"84",0.0552050473186122
"85",0.0630914826498425
"86",0.0394321766561516
"87",0.0315457413249212
"88",0.0394321766561509
"89",0.0552050473186122
"90",0.0473186119873819
"91",0.0473186119873819
"92",0.0157728706624606
"93",0.0552050473186112
"94",0.0394321766561516
"95",0.0236593059936909
"96",0.0473186119873819
"97",0.0473186119873819
"98",0.047318611987381
"99",0.0157728706624606
"100",0.0236593059936909
"101",0.0236593059936909
"102",0.0236593059936905
"103",0.0157728706624606
"104",0
"105",0.00788643533123031
"106",0.0315457413249212
"107",0.0236593059936905
"108",0.00788643533123031
"109",0.0473186119873819
"110",0.00788643533123031
"111",0
"112",0.0236593059936905
"113",0.0236593059936909
"114",0.0236593059936909
"115",0.0473186119873819
"116",0
"117",0
"118",0.00788643533123031
"119",0.0157728706624606
"120",0.00788643533123031
"121",0.0157728706624603
"122",0.00788643533123031
"123",0.0157728706624606
"124",0.00788643533123031
"125",0.00788643533123031
"126",0.0157728706624603
"127",0
"128",0.00788643533123031
"129",0.00788643533123031
"130",0
"131",0
"132",0
"133",0
"134",0
"135",0
"136",0
"137",0.00788643533123031
"138",0
"139",0
"140",0
"141",0
"142",0
"143",0.00788643533123031
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0.00788643533123017
"151",0
"152",0
"153",0
"154",0
"155",0
"156",0
"157",0
"158",0
"159",0
"160",0
"161",0
"162",0
"163",0
"164",0
"165",0
"166",0
"167",0.00788643533123045
"168",0
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",0
"178",0
"179",0
"180",0
"181",0
"182",0.00788643533123045
