pro,prototal
0,0
0.007886435,0.007886435
0,0.007886435
0,0.007886435
0.007886435,0.01577287
0.023659306,0.039432176
0.039432177,0.078864353
0.023659306,0.102523659
0.023659306,0.126182965
0.031545741,0.157728706
0.031545741,0.189274447
0.031545741,0.220820188
0.063091483,0.283911671
0.055205047,0.339116718
0.023659306,0.362776024
0.102523659,0.465299683
0.102523659,0.567823342
0.126182965,0.694006307
0.078864353,0.77287066
0.134069401,0.906940061
0.110410095,1.017350156
0.102523659,1.119873815
0.110410095,1.23028391
0.110410095,1.340694005
0.141955836,1.482649841
0.094637224,1.577287065
0.11829653,1.695583595
0.134069401,1.829652996
0.102523659,1.932176655
0.149842271,2.082018926
0.141955836,2.223974762
0.141955836,2.365930598
0.141955836,2.507886434
0.149842271,2.657728705
0.173501577,2.831230282
0.141955836,2.973186118
0.197160883,3.170347001
0.197160883,3.367507884
0.181388013,3.548895897
0.141955836,3.690851733
0.11829653,3.809148263
0.173501577,3.98264984
0.11829653,4.10094637
0.157728707,4.258675077
0.157728707,4.416403784
0.220820189,4.637223973
0.149842271,4.787066244
0.181388013,4.968454257
0.228706625,5.197160882
0.189274448,5.38643533
0.141955836,5.528391166
0.157728707,5.686119873
0.212933754,5.899053627
0.126182965,6.025236592
0.110410095,6.135646687
0.141955836,6.277602523
0.110410095,6.388012618
0.141955836,6.529968454
0.102523659,6.632492113
0.126182965,6.758675078
0.134069401,6.892744479
0.134069401,7.02681388
0.134069401,7.160883281
0.094637224,7.255520505
0.110410095,7.3659306
0.094637224,7.460567824
0.134069401,7.594637225
0.141955836,7.736593061
0.070977918,7.807570979
0.063091483,7.870662462
0.126182965,7.996845427
0.047318612,8.044164039
0.102523659,8.146687698
0.094637224,8.241324922
0.086750789,8.328075711
0.047318612,8.375394323
0.086750789,8.462145112
0.063091483,8.525236595
0.070977918,8.596214513
0.063091483,8.659305996
0.047318612,8.706624608
0.055205047,8.761829655
0.055205047,8.817034702
0.023659306,8.840694008
0.055205047,8.895899055
0.063091483,8.958990538
0.039432177,8.998422715
0.031545741,9.029968456
0.039432177,9.069400633
0.055205047,9.12460568
0.047318612,9.171924292
0.047318612,9.219242904
0.015772871,9.235015775
0.055205047,9.290220822
0.039432177,9.329652999
0.023659306,9.353312305
0.047318612,9.400630917
0.047318612,9.447949529
0.047318612,9.495268141
0.015772871,9.511041012
0.023659306,9.534700318
0.023659306,9.558359624
0.023659306,9.58201893
0.015772871,9.597791801
0,9.597791801
0.007886435,9.605678236
0.031545741,9.637223977
0.023659306,9.660883283
0.007886435,9.668769718
0.047318612,9.71608833
0.007886435,9.723974765
0,9.723974765
0.023659306,9.747634071
0.023659306,9.771293377
0.023659306,9.794952683
0.047318612,9.842271295
0,9.842271295
0,9.842271295
0.007886435,9.85015773
0.015772871,9.865930601
0.007886435,9.873817036
0.015772871,9.889589907
0.007886435,9.897476342
0.015772871,9.913249213
0.007886435,9.921135648
0.007886435,9.929022083
0.015772871,9.944794954
0,9.944794954
0.007886435,9.952681389
0.007886435,9.960567824
0,9.960567824
0,9.960567824
0,9.960567824
0,9.960567824
0,9.960567824
0,9.960567824
0,9.960567824
0.007886435,9.968454259
0,9.968454259
0,9.968454259
0,9.968454259
0,9.968454259
0,9.968454259
0.007886435,9.976340694
0,9.976340694
0,9.976340694
0,9.976340694
0,9.976340694
0,9.976340694
0,9.976340694
0.007886435,9.984227129
0,9.984227129
0,9.984227129
0,9.984227129
0,9.984227129
0,9.984227129
0,9.984227129
0,9.984227129
0,9.984227129
0,9.984227129
0,9.984227129
0,9.984227129
0,9.984227129
0,9.984227129
0,9.984227129
0,9.984227129
0,9.984227129
0.007886435,9.992113564
0,9.992113564
0,9.992113564
0,9.992113564
0,9.992113564
0,9.992113564
0,9.992113564
0,9.992113564
0,9.992113564
0,9.992113564
0,9.992113564
0,9.992113564
0,9.992113564
0,9.992113564
0,9.992113564
0.007886435,9.999999999
